순위,도서명,저자,출판사,출판년도,ISBN,KDC,KDC명,대출건수
1,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,9791191824001,813.7,문학 > 한국문학 > 소설,118
2,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2013,9788998441012,813.62,문학 > 한국문학 > 소설,107
3,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,9791189327156,490.99,자연과학 > 동물학 > 동물학,104
4,지구에서 한아뿐 :정세랑 장편소설 ,지은이: 정세랑,난다,2019,9791188862290,813.7,문학 > 한국문학 > 소설,102
5,나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2019,9788998441074,813.62,문학 > 한국문학 > 소설,96
6,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,2020,9788954672214,813.7,문학 > 한국문학 > 소설,92
7,"칵테일, 러브, 좀비 ",지은이: 조예은,안전가옥,2020,9791190174756,813.7,문학 > 한국문학 > 소설,89
8,대도시의 사랑법 :박상영 연작소설 ,지은이: 박상영,창비,2019,9788936437978,813.7,문학 > 한국문학 > 소설,87
8,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,9791190090261,813.7,문학 > 한국문학 > 소설,87
10,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,9788954682152,813.62,문학 > 한국문학 > 소설,86
11,바깥은 여름 :김애란 소설 ,지은이: 김애란,문학동네,2017,9788954646079,813.7,문학 > 한국문학 > 소설,84
12,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,9791190090018,813.7,문학 > 한국문학 > 소설,83
13,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,2021,9788954681155,813.7,문학 > 한국문학 > 소설,81
14,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,2016,9788956609959,813.7,문학 > 한국문학 > 소설,80
15,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,9788936434120,813.62,문학 > 한국문학 > 소설,79
16,단 한 사람 :최진영 장편소설 ,지은이: 최진영,한겨레엔,2023,9791160405750,813.7,문학 > 한국문학 > 소설,78
17,트로피컬 나이트 =조예은 소설집 /Tropical night ,지은이: 조예은,한겨레엔,2022,9791160408331,813.7,문학 > 한국문학 > 소설,74
17,이끼숲 :천선란 연작소설 ,지은이: 천선란 ;일러스트: 점선면,자이언트북스,2023,9791191824216,813.7,문학 > 한국문학 > 소설,74
19,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,9788954681179,813.7,문학 > 한국문학 > 소설,70
19,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,9791167370280,813.7,문학 > 한국문학 > 소설,70
21,피프티 피플 :정세랑 장편소설 ,지은이: 정세랑,창비,2016,9788936434243,813.7,문학 > 한국문학 > 소설,63
22,해가 지는 곳으로 :최진영 장편소설 ,지은이: 최진영,민음사,2017,9788937473166,813.7,문학 > 한국문학 > 소설,60
22,구의 증명 :최진영 소설 ,지은이: 최진영,은행나무,2015,9788956608556,813.7,문학 > 한국문학 > 소설,60
24,돌이킬 수 있는 =문목하 장편소설 /Eversible ,지은이: 문목하,아작,2018,9791189015381,813.7,문학 > 한국문학 > 소설,58
24,이상한 집 ,우케쓰 지음 ;김은모 옮김,디앤씨미디어,2022,9791197708572,833.6,문학 > 일본문학 > 소설,58
26,돈은 좋지만 재테크는 겁나는 너에게 ,뿅글이 지음,첨단,2023,9788960306134,327.04,사회과학 > 경제학 > 금융,57
26,오로라 ,지은이: 최진영,위즈덤하우스,2024,9791168127500,813.7,문학 > 한국문학 > 소설,57
26,내가 한 말을 내가 오해하지 않기로 함 ,지은이: 문상훈,위너스북,2024,9791189352745,818,문학 > 한국문학 > 르포르타주 및 기타,57
29,귀신들의 땅 :천쓰홍 장편 소설 ,지은이: 천쓰홍 ;옮긴이: 김태성,민음사,2023,9788937454820,823.7,문학 > 중국문학 > 소설,56
30,방금 떠나온 세계 :김초엽 소설집 ,지은이: 김초엽,한겨레엔,2021,9791160406504,813.7,문학 > 한국문학 > 소설,55
31,더 좋은 삶을 위한 철학 ,지은이: 마이클 슈어 ;옮긴이: 염지선,김영사,2023,9788934965909,190,"철학 > 윤리학, 도덕철학 > 윤리학, 도덕철학",54
31,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,9791161571188,813.7,문학 > 한국문학 > 소설,54
31,입속 지느러미 :조예은 장편소설 ,지은이: 조예은,한겨레엔,2024,9791172130633,813.7,문학 > 한국문학 > 소설,54
31,파견자들 :김초엽 장편소설 ,지은이: 김초엽,퍼블리온,2023,9791191587524,813.7,문학 > 한국문학 > 소설,54
35,채식주의자:한강 연작소설,한강,창비,2007,9788936433598,813.6,문학 > 한국문학 > 소설,53
35,아주 희미한 빛으로도 :최은영 소설 ,지은이: 최은영,문학동네,2023,9788954695053,813.7,문학 > 한국문학 > 소설,53
35,다정한 것이 살아남는다 ,"지은이: 브라이언 헤어,옮긴이: 이민아",디플롯,2021,9791197413025,182.4,철학 > 심리학 > 차이심리학,53
35,탕비실 :이미예 소설 ,지은이: 이미예,오팬하우스,2024,9791198809940,813.7,문학 > 한국문학 > 소설,53
39,행성어 서점 :김초엽 짧은 소설 ,지은이: 김초엽 ;그린이: 최인호,마음산책,2021,9788960907003,813.7,문학 > 한국문학 > 소설,52
39,자기 앞의 生 :에밀 아자르 장편소설 ,지은이: 에밀 아자르 ;옮긴이: 용경식,문학동네,2015,9788982816635,863,문학 > 프랑스문학 > 소설,52
39,어떤 물질의 사랑 :천선란 소설집 ,지은이: 천선란,아작,2020,9791165508340,813.7,문학 > 한국문학 > 소설,52
39,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ,지은이: 김승호,Snowfox(스노우폭스북스),2020,9791188331796,327.04,사회과학 > 경제학 > 금융,52
43,프로젝트 헤일메리 ,앤디 위어 지음 ;강동혁 옮김,RHK(알에이치코리아),2021,9788925588735,843.6,문학 > 영미문학 > 소설,51
43,채식주의자 :한강 장편소설 ,지은이: 한강,창비,2022,9788936434595,813.62,문학 > 한국문학 > 소설,51
43,급류 :정대건 장편소설 ,지은이: 정대건,민음사,2022,9788937473401,813.7,문학 > 한국문학 > 소설,51
43,희랍어 시간 :한강 장편소설 ,지은이: 한강,문학동네,2011,9788954616515,813.62,문학 > 한국문학 > 소설,51
43,쇼코의 미소 :최은영 소설 ,지은이: 최은영,문학동네,2016,9788954641630,813.7,문학 > 한국문학 > 소설,51
43,랑과 나의 사막 :천선란 소설 ,지은이: 천선란,H(현대문학),2022,9791167901354,813.7,문학 > 한국문학 > 소설,51
49,눈부신 안부 :백수린 장편소설 ,지은이: 백수린,문학동네,2023,9788954699372,813.7,문학 > 한국문학 > 소설,50
49,아가미 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스,2018,9791162203392,813.7,문학 > 한국문학 > 소설,50
49,적산가옥의 유령 :조예은 소설 ,지은이: 조예은,H(현대문학),2024,9791167902580,813.7,문학 > 한국문학 > 소설,50
52,참을 수 없는 존재의 가벼움 ,지은이: 밀란 쿤데라 ;옮긴이: 이재룡,민음사,2018,9788937437564,892.96,문학 > 기타 제문학 > 인도-유럽계문학,49
52,스노볼 드라이브 :조예은 장편소설 ,지은이: 조예은,민음사,2021,9788937473319,813.7,문학 > 한국문학 > 소설,49
52,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 ,지은이: 이미예,팩토리나인,2020,9791165341909,813.7,문학 > 한국문학 > 소설,49
55,"파쇄 :일단 마음먹고 칼을 집었으면, 뜸 들이지 마 ",지은이: 구병모,위즈덤하우스,2023,9791168127012,813.7,문학 > 한국문학 > 소설,48
56,7년의 밤 :정유정 장편소설 ,지은이: 정유정,은행나무,2011,9788956604992,813.7,문학 > 한국문학 > 소설,47
56,왜 나는 너를 사랑하는가,알랭 드 보통 [지음];정영목 옮김,청미래,2007,9788986836240,843,문학 > 영미문학 > 소설,47
56,노랜드 :천선란 소설집 ,지은이: 천선란,한겨레엔,2022,9791160404944,813.7,문학 > 한국문학 > 소설,47
56,저주토끼 (리커버),정보라 (지은이),아작,2022,9791166686665,,,47
56,미드나잇 라이브러리 ,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,9791191056556,843.6,문학 > 영미문학 > 소설,47
61,오렌지와 빵칼 =청예 장편소설 /Orange and bread knife ,지은이: 청예,허블,2024,9791193078259,813.7,문학 > 한국문학 > 소설,46
62,테디베어는 죽지 않아 :조예은 장편소설 ,지은이: 조예은,안전가옥,2023,9791193024225,813.7,문학 > 한국문학 > 소설,45
62,아이가 없는 집 ,지은이: 알렉스 안도릴 ;옮긴이: 유혜인,필름,2024,9791193262184,859.7,문학 > 독일문학 > 기타 게르만 문학,45
