순위,도서명,저자,출판사,출판년도,ISBN,KDC,KDC명,대출건수
1,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,2021,9788954681155,813.7,문학 > 한국문학 > 소설,106
2,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2013,9788998441012,813.62,문학 > 한국문학 > 소설,105
3,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,9791191824001,813.7,문학 > 한국문학 > 소설,99
4,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,9791189327156,490.99,자연과학 > 동물학 > 동물학,96
5,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,9788954682152,813.62,문학 > 한국문학 > 소설,95
6,나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2019,9788998441074,813.62,문학 > 한국문학 > 소설,87
7,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,9788936434120,813.62,문학 > 한국문학 > 소설,85
8,급류 :정대건 장편소설 ,지은이: 정대건,민음사,2022,9788937473401,813.7,문학 > 한국문학 > 소설,74
8,지구에서 한아뿐 :정세랑 장편소설 ,지은이: 정세랑,난다,2019,9791188862290,813.7,문학 > 한국문학 > 소설,74
8,돌이킬 수 있는 =문목하 장편소설 /Eversible ,지은이: 문목하,아작,2018,9791189015381,813.7,문학 > 한국문학 > 소설,74
11,"칵테일, 러브, 좀비 ",지은이: 조예은,안전가옥,2020,9791190174756,813.7,문학 > 한국문학 > 소설,69
12,모우어 :천선란 소설 ,지은이: 천선란,문학동네,2024,9791141601447,813.7,문학 > 한국문학 > 소설,65
12,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,9791190090261,813.7,문학 > 한국문학 > 소설,65
14,"파쇄 :일단 마음먹고 칼을 집었으면, 뜸 들이지 마 ",지은이: 구병모,위즈덤하우스,2023,9791168127012,813.7,문학 > 한국문학 > 소설,64
14,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,9791190090018,813.7,문학 > 한국문학 > 소설,64
16,대도시의 사랑법 :박상영 연작소설 ,지은이: 박상영,창비,2019,9788936437978,813.7,문학 > 한국문학 > 소설,63
16,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,9791167370280,813.7,문학 > 한국문학 > 소설,63
