순위,도서명,저자,출판사,출판년도,ISBN,KDC,KDC명,대출건수
1,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,9791189327156,490.99,자연과학 > 동물학 > 동물학,113
2,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2013,9788998441012,813.62,문학 > 한국문학 > 소설,108
3,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,2021,9788954681155,813.7,문학 > 한국문학 > 소설,101
4,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,9791191824001,813.7,문학 > 한국문학 > 소설,91
5,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,2016,9788956609959,813.7,문학 > 한국문학 > 소설,86
5,나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2019,9788998441074,813.62,문학 > 한국문학 > 소설,86
7,지구에서 한아뿐 :정세랑 장편소설 ,지은이: 정세랑,난다,2019,9791188862290,813.7,문학 > 한국문학 > 소설,85
8,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,9788936434120,813.62,문학 > 한국문학 > 소설,78
8,"칵테일, 러브, 좀비 ",지은이: 조예은,안전가옥,2020,9791190174756,813.7,문학 > 한국문학 > 소설,78
8,이끼숲 :천선란 연작소설 ,지은이: 천선란 ;일러스트: 점선면,자이언트북스,2023,9791191824216,813.7,문학 > 한국문학 > 소설,78
11,오로라 ,지은이: 최진영,위즈덤하우스,2024,9791168127500,813.7,문학 > 한국문학 > 소설,74
12,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,9788954682152,813.62,문학 > 한국문학 > 소설,73
13,대도시의 사랑법 :박상영 연작소설 ,지은이: 박상영,창비,2019,9788936437978,813.7,문학 > 한국문학 > 소설,71
13,바깥은 여름 :김애란 소설 ,지은이: 김애란,문학동네,2017,9788954646079,813.7,문학 > 한국문학 > 소설,71
13,트로피컬 나이트 =조예은 소설집 /Tropical night ,지은이: 조예은,한겨레엔,2022,9791160408331,813.7,문학 > 한국문학 > 소설,71
16,귀신들의 땅 :천쓰홍 장편 소설 ,지은이: 천쓰홍 ;옮긴이: 김태성,민음사,2023,9788937454820,823.7,문학 > 중국문학 > 소설,69
17,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,9791190090018,813.7,문학 > 한국문학 > 소설,67
18,채식주의자:한강 연작소설,한강,창비,2007,9788936433598,813.6,문학 > 한국문학 > 소설,66
18,자기 앞의 生 :에밀 아자르 장편소설 ,지은이: 에밀 아자르 ;옮긴이: 용경식,문학동네,2015,9788982816635,863,문학 > 프랑스문학 > 소설,66
20,랑과 나의 사막 :천선란 소설 ,지은이: 천선란,H(현대문학),2022,9791167901354,813.7,문학 > 한국문학 > 소설,65
21,단 한 사람 :최진영 장편소설 ,지은이: 최진영,한겨레엔,2023,9791160405750,813.7,문학 > 한국문학 > 소설,63
21,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,9791190090261,813.7,문학 > 한국문학 > 소설,63
23,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 ,지은이: 이미예,팩토리나인,2020,9791165341909,813.7,문학 > 한국문학 > 소설,59
23,내가 한 말을 내가 오해하지 않기로 함 ,지은이: 문상훈,위너스북,2024,9791189352745,818,문학 > 한국문학 > 르포르타주 및 기타,59
