순위,도서명,저자,출판사,출판년도,ISBN,KDC,KDC명,대출건수
1,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2013,9788998441012,813.62,문학 > 한국문학 > 소설,105
1,나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2019,9788998441074,813.62,문학 > 한국문학 > 소설,105
3,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,9788936434120,813.62,문학 > 한국문학 > 소설,104
4,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,2021,9788954681155,813.7,문학 > 한국문학 > 소설,103
5,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,9791191824001,813.7,문학 > 한국문학 > 소설,100
6,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,9791189327156,490.99,자연과학 > 동물학 > 동물학,99
7,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,9788954682152,813.62,문학 > 한국문학 > 소설,89
7,이끼숲 :천선란 연작소설 ,지은이: 천선란 ;일러스트: 점선면,자이언트북스,2023,9791191824216,813.7,문학 > 한국문학 > 소설,89
9,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,9791190090261,813.7,문학 > 한국문학 > 소설,88
10,급류 :정대건 장편소설 ,지은이: 정대건,민음사,2022,9788937473401,813.7,문학 > 한국문학 > 소설,83
11,지구에서 한아뿐 :정세랑 장편소설 ,지은이: 정세랑,난다,2019,9791188862290,813.7,문학 > 한국문학 > 소설,77
12,"칵테일, 러브, 좀비 ",지은이: 조예은,안전가옥,2020,9791190174756,813.7,문학 > 한국문학 > 소설,74
13,모우어 :천선란 소설 ,지은이: 천선란,문학동네,2024,9791141601447,813.7,문학 > 한국문학 > 소설,71
14,트로피컬 나이트 =조예은 소설집 /Tropical night ,지은이: 조예은,한겨레엔,2022,9791160408331,813.7,문학 > 한국문학 > 소설,70
15,바깥은 여름 :김애란 소설 ,지은이: 김애란,문학동네,2017,9788954646079,813.7,문학 > 한국문학 > 소설,69
15,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,9788954681179,813.7,문학 > 한국문학 > 소설,69
17,채식주의자 :한강 장편소설 ,지은이: 한강,창비,2022,9788936434595,813.62,문학 > 한국문학 > 소설,68
18,구의 증명 :최진영 소설 ,지은이: 최진영,은행나무,2015,9788956608556,813.7,문학 > 한국문학 > 소설,65
19,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,2020,9788954672214,813.7,문학 > 한국문학 > 소설,64
19,"파쇄 :일단 마음먹고 칼을 집었으면, 뜸 들이지 마 ",지은이: 구병모,위즈덤하우스,2023,9791168127012,813.7,문학 > 한국문학 > 소설,64
21,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,2016,9788956609959,813.7,문학 > 한국문학 > 소설,62
21,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,9791167370280,813.7,문학 > 한국문학 > 소설,62
23,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,9791190090018,813.7,문학 > 한국문학 > 소설,61
23,오렌지와 빵칼 =청예 장편소설 /Orange and bread knife ,지은이: 청예,허블,2024,9791193078259,813.7,문학 > 한국문학 > 소설,61
25,비눗방울 퐁 :이유리 소설집 ,지은이: 이유리,민음사,2024,9788937428234,813.7,문학 > 한국문학 > 소설,58
25,이중 하나는 거짓말 :김애란 장편소설 ,지은이: 김애란,문학동네,2024,9791141601300,813.7,문학 > 한국문학 > 소설,58
25,아가미 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스,2018,9791162203392,813.7,문학 > 한국문학 > 소설,58
28,두 사람의 인터내셔널 :김기태 소설 ,지은이: 김기태,문학동네,2024,9788954697941,813.7,문학 > 한국문학 > 소설,57
28,구의 증명 ,최진영 지음,은행나무,2023,9791167372864,813.7,문학 > 한국문학 > 소설,57
28,돌이킬 수 있는 =문목하 장편소설 /Eversible ,지은이: 문목하,아작,2018,9791189015381,813.7,문학 > 한국문학 > 소설,57
31,아주 희미한 빛으로도 :최은영 소설 ,지은이: 최은영,문학동네,2023,9788954695053,813.7,문학 > 한국문학 > 소설,56
31,랑과 나의 사막 :천선란 소설 ,지은이: 천선란,H(현대문학),2022,9791167901354,813.7,문학 > 한국문학 > 소설,56
33,파과 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스 미디어그룹,2018,9791162203620,813.7,문학 > 한국문학 > 소설,55
34,채식주의자:한강 연작소설,한강,창비,2007,9788936433598,813.6,문학 > 한국문학 > 소설,53
34,해가 지는 곳으로 :최진영 장편소설 ,지은이: 최진영,민음사,2017,9788937473166,813.7,문학 > 한국문학 > 소설,53
