순위,도서명,저자,출판사,출판년도,ISBN,KDC,KDC명,대출건수
1,모순 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2013,9788998441012,813.62,문학 > 한국문학 > 소설,109
2,소년이 온다 :한강 장편소설 ,지은이: 한강,창비,2014,9788936434120,813.62,문학 > 한국문학 > 소설,103
3,지구에서 한아뿐 :정세랑 장편소설 ,지은이: 정세랑,난다,2019,9791188862290,813.7,문학 > 한국문학 > 소설,99
4,작별하지 않는다 :한강 장편소설 ,지은이: 한강,문학동네,2021,9788954682152,813.62,문학 > 한국문학 > 소설,97
5,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,2021,9788954681155,813.7,문학 > 한국문학 > 소설,96
6,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,9791189327156,490.99,자연과학 > 동물학 > 동물학,93
7,나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ,지은이: 양귀자,쓰다,2019,9788998441074,813.62,문학 > 한국문학 > 소설,90
7,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,9791191824001,813.7,문학 > 한국문학 > 소설,90
9,"칵테일, 러브, 좀비 ",지은이: 조예은,안전가옥,2020,9791190174756,813.7,문학 > 한국문학 > 소설,81
10,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란,허블,2020,9791190090261,813.7,문학 > 한국문학 > 소설,76
11,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,2020,9788954672214,813.7,문학 > 한국문학 > 소설,74
11,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정,은행나무,2016,9788956609959,813.7,문학 > 한국문학 > 소설,74
13,트로피컬 나이트 =조예은 소설집 /Tropical night ,지은이: 조예은,한겨레엔,2022,9791160408331,813.7,문학 > 한국문학 > 소설,72
14,해가 지는 곳으로 :최진영 장편소설 ,지은이: 최진영,민음사,2017,9788937473166,813.7,문학 > 한국문학 > 소설,69
14,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,9791190090018,813.7,문학 > 한국문학 > 소설,69
16,채식주의자 :한강 장편소설 ,지은이: 한강,창비,2022,9788936434595,813.62,문학 > 한국문학 > 소설,66
17,바깥은 여름 :김애란 소설 ,지은이: 김애란,문학동네,2017,9788954646079,813.7,문학 > 한국문학 > 소설,64
17,아주 희미한 빛으로도 :최은영 소설 ,지은이: 최은영,문학동네,2023,9788954695053,813.7,문학 > 한국문학 > 소설,64
19,이끼숲 :천선란 연작소설 ,지은이: 천선란 ;일러스트: 점선면,자이언트북스,2023,9791191824216,813.7,문학 > 한국문학 > 소설,63
20,채식주의자:한강 연작소설,한강,창비,2007,9788936433598,813.6,문학 > 한국문학 > 소설,62
20,대도시의 사랑법 :박상영 연작소설 ,지은이: 박상영,창비,2019,9788936437978,813.7,문학 > 한국문학 > 소설,62
20,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,9788954681179,813.7,문학 > 한국문학 > 소설,62
23,단 한 사람 :최진영 장편소설 ,지은이: 최진영,한겨레엔,2023,9791160405750,813.7,문학 > 한국문학 > 소설,60
24,희랍어 시간 :한강 장편소설 ,지은이: 한강,문학동네,2011,9788954616515,813.62,문학 > 한국문학 > 소설,58
25,파과 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스 미디어그룹,2018,9791162203620,813.7,문학 > 한국문학 > 소설,57
25,돌이킬 수 있는 =문목하 장편소설 /Eversible ,지은이: 문목하,아작,2018,9791189015381,813.7,문학 > 한국문학 > 소설,57
27,귀신들의 땅 :천쓰홍 장편 소설 ,지은이: 천쓰홍 ;옮긴이: 김태성,민음사,2023,9788937454820,823.7,문학 > 중국문학 > 소설,56
27,오로라 ,지은이: 최진영,위즈덤하우스,2024,9791168127500,813.7,문학 > 한국문학 > 소설,56
29,이처럼 사소한 것들 :클레어 키건 소설 ,지은이: 클레어 키건 ;옮긴이: 홍한별,다산북스,2023,9791130646381,843.6,문학 > 영미문학 > 소설,54
29,"파쇄 :일단 마음먹고 칼을 집었으면, 뜸 들이지 마 ",지은이: 구병모,위즈덤하우스,2023,9791168127012,813.7,문학 > 한국문학 > 소설,54
31,내가 한 말을 내가 오해하지 않기로 함 ,지은이: 문상훈,위너스북,2024,9791189352745,818,문학 > 한국문학 > 르포르타주 및 기타,53
32,급류 :정대건 장편소설 ,지은이: 정대건,민음사,2022,9788937473401,813.7,문학 > 한국문학 > 소설,52
32,자기 앞의 生 :에밀 아자르 장편소설 ,지은이: 에밀 아자르 ;옮긴이: 용경식,문학동네,2015,9788982816635,863,문학 > 프랑스문학 > 소설,52
32,방금 떠나온 세계 :김초엽 소설집 ,지은이: 김초엽,한겨레엔,2021,9791160406504,813.7,문학 > 한국문학 > 소설,52
35,오렌지와 빵칼 =청예 장편소설 /Orange and bread knife ,지은이: 청예,허블,2024,9791193078259,813.7,문학 > 한국문학 > 소설,51
36,내게 무해한 사람 :최은영 소설 ,지은이: 최은영,문학동네,2018,9788954651820,813.7,문학 > 한국문학 > 소설,50
36,이중 하나는 거짓말 :김애란 장편소설 ,지은이: 김애란,문학동네,2024,9791141601300,813.7,문학 > 한국문학 > 소설,50
38,프로젝트 헤일메리 ,앤디 위어 지음 ;강동혁 옮김,RHK(알에이치코리아),2021,9788925588735,843.6,문학 > 영미문학 > 소설,49
38,두 사람의 인터내셔널 :김기태 소설 ,지은이: 김기태,문학동네,2024,9788954697941,813.7,문학 > 한국문학 > 소설,49
38,구의 증명 :최진영 소설 ,지은이: 최진영,은행나무,2015,9788956608556,813.7,문학 > 한국문학 > 소설,49
38,모우어 :천선란 소설 ,지은이: 천선란,문학동네,2024,9791141601447,813.7,문학 > 한국문학 > 소설,49
38,파견자들 :김초엽 장편소설 ,지은이: 김초엽,퍼블리온,2023,9791191587524,813.7,문학 > 한국문학 > 소설,49
43,만조를 기다리며 :우리 숨바꼭질 기억해? ,지은이: 조예은,위즈덤하우스,2023,9791168127128,813.7,문학 > 한국문학 > 소설,47
43,GV 빌런 고태경 :2020 한경신춘문예 당선작 ,지은이: 정대건,은행나무,2020,9791190492430,813.7,문학 > 한국문학 > 소설,47
45,비눗방울 퐁 :이유리 소설집 ,지은이: 이유리,민음사,2024,9788937428234,813.7,문학 > 한국문학 > 소설,46
45,눈부신 안부 :백수린 장편소설 ,지은이: 백수린,문학동네,2023,9788954699372,813.7,문학 > 한국문학 > 소설,46
45,입속 지느러미 :조예은 장편소설 ,지은이: 조예은,한겨레엔,2024,9791172130633,813.7,문학 > 한국문학 > 소설,46
45,테디베어는 죽지 않아 :조예은 장편소설 ,지은이: 조예은,안전가옥,2023,9791193024225,813.7,문학 > 한국문학 > 소설,46
49,피프티 피플 :정세랑 장편소설 ,지은이: 정세랑,창비,2016,9788936434243,813.7,문학 > 한국문학 > 소설,45
49,스노볼 드라이브 :조예은 장편소설 ,지은이: 조예은,민음사,2021,9788937473319,813.7,문학 > 한국문학 > 소설,45
49,탕비실 :이미예 소설 ,지은이: 이미예,오팬하우스,2024,9791198809940,813.7,문학 > 한국문학 > 소설,45
52,적산가옥의 유령 :조예은 소설 ,지은이: 조예은,H(현대문학),2024,9791167902580,813.7,문학 > 한국문학 > 소설,44
53,쇼코의 미소 :최은영 소설 ,지은이: 최은영,문학동네,2016,9788954641630,813.7,문학 > 한국문학 > 소설,43
53,구의 증명 ,최진영 지음,은행나무,2023,9791167372864,813.7,문학 > 한국문학 > 소설,43
53,공룡의 이동 경로 :김화진 소설 ,지은이: 김화진,스위밍꿀,2023,9791196074470,813.7,문학 > 한국문학 > 소설,43
56,왜 나는 너를 사랑하는가,알랭 드 보통 [지음];정영목 옮김,청미래,2007,9788986836240,843,문학 > 영미문학 > 소설,42
56,저주토끼 (리커버),정보라 (지은이),아작,2022,9791166686665,,,42
56,취미는 사생활 :장진영 소설 ,지은이: 장진영,은행나무,2023,9791167372895,813.7,문학 > 한국문학 > 소설,42
59,어떤 물질의 사랑 :천선란 소설집 ,지은이: 천선란,아작,2020,9791165508340,813.7,문학 > 한국문학 > 소설,41
59,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법 ",요한 하리 지음 ;김하현 옮김,어크로스(어크로스출판그룹),2023,9791167740984,181.27,철학 > 심리학 > 각론,41
59,미키7 :에드워드 애슈턴 SF 장편소설 ,지은이: 에드워드 애슈턴 ;옮긴이: 배지혜,황금가지,2022,9791170521730,843.6,문학 > 영미문학 > 소설,41
62,브람스를 좋아하세요 ,프랑수아즈 사강 [지음] ;김남주 옮김,민음사,2008,9788937461798,863,문학 > 프랑스문학 > 소설,40
62,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,9791161571188,813.7,문학 > 한국문학 > 소설,40
62,너의 유토피아 :정보라 소설집 ,지은이: 정보라,인플루엔셜,2025,9791168342569,813.7,문학 > 한국문학 > 소설,40
62,다정한 것이 살아남는다 ,"지은이: 브라이언 헤어,옮긴이: 이민아",디플롯,2021,9791197413025,182.4,철학 > 심리학 > 차이심리학,40
66,유령의 마음으로 :임선우 소설집 ,지은이: 임선우,민음사,2022,9788937442698,813.7,문학 > 한국문학 > 소설,39
66,흰 :한강 소설 ,지은이: 한강,문학동네,2018,9788954651134,813.62,문학 > 한국문학 > 소설,39
66,사랑과 결함 :예소연 소설 ,지은이: 예소연,문학동네,2024,9791141601102,813.7,문학 > 한국문학 > 소설,39
66,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 ,지은이: 이미예,팩토리나인,2020,9791165341909,813.7,문학 > 한국문학 > 소설,39
70,참을 수 없는 존재의 가벼움 ,지은이: 밀란 쿤데라 ;옮긴이: 이재룡,민음사,2018,9788937437564,892.96,문학 > 기타 제문학 > 인도-유럽계문학,38
70,악마의 계약서는 만기 되지 않는다 :리러하 장편소설 ,지은이: 리러하,팩토리나인,2022,9791165345839,813.7,문학 > 한국문학 > 소설,38
70,랑과 나의 사막 :천선란 소설 ,지은이: 천선란,H(현대문학),2022,9791167901354,813.7,문학 > 한국문학 > 소설,38
70,재와 물거품 ,지은이: 김청귤,안전가옥,2021,9791191193114,813.7,문학 > 한국문학 > 소설,38
74,싯다르타,헤르만 헤세 지음;박병덕 옮김,민음사,2002,9788937460586,853,문학 > 독일문학 > 소설,37
74,치치새가 사는 숲 :장진영 장편소설 ,지은이: 장진영,민음사,2023,9788937473852,813.7,문학 > 한국문학 > 소설,37
74,완전한 행복 :정유정 장편소설 ,지은이: 정유정,은행나무,2021,9791167370280,813.7,문학 > 한국문학 > 소설,37
74,파타 =문가영 산문집 /Pata ,지은이: 문가영,위즈덤하우스,2024,9791171711581,818,문학 > 한국문학 > 르포르타주 및 기타,37
78,서랍에 저녁을 넣어 두었다 :한강 시집 ,지은이: 한강,문학과지성사,2013,9788932024639,811.62,문학 > 한국문학 > 시,36
78,여름의 빌라 :백수린 소설 ,지은이: 백수린,문학동네,2020,9788954673105,813.7,문학 > 한국문학 > 소설,36
78,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry ,글: 윤정은,북로망스,2023,9791191891287,813.7,문학 > 한국문학 > 소설,36
78,아이가 없는 집 ,지은이: 알렉스 안도릴 ;옮긴이: 유혜인,필름,2024,9791193262184,859.7,문학 > 독일문학 > 기타 게르만 문학,36
82,음악소설집 ,"지은이: 김애란,편혜영",Franz(프란츠),2024,9791197325892,813.7,문학 > 한국문학 > 소설,35
83,일의 기쁨과 슬픔 :장류진 소설집 ,지은이: 장류진,창비,2019,9788936438036,813.7,문학 > 한국문학 > 소설,34
83,나주에 대하여 :김화진 소설 ,지은이: 김화진,문학동네,2022,9788954688994,813.7,문학 > 한국문학 > 소설,34
83,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2022,9791161571379,813.7,문학 > 한국문학 > 소설,34
86,브로콜리 펀치 :이유리 소설집 ,지은이: 이유리,문학과지성사,2021,9788932039114,813.7,문학 > 한국문학 > 소설,33
86,마법소녀 은퇴합니다 :박서련 소설 ,지은이: 박서련,창비,2022,9788936438739,813.7,문학 > 한국문학 > 소설,33
86,천문학자는 별을 보지 않는다 ,심채경 지음,문학동네,2021,9788954677257,440.4,자연과학 > 천문학 > 천문학,33
86,목소리를 드릴게요 :정세랑 소설집 ,지은이: 정세랑,아작,2020,9791165300005,813.7,문학 > 한국문학 > 소설,33
86,영원한 천국 :정유정 장편소설 ,지은이: 정유정,은행나무,2024,9791167374561,813.7,문학 > 한국문학 > 소설,33
86,작별인사 :김영하 장편소설 ,지은이: 김영하,복복서가,2022,9791191114225,813.62,문학 > 한국문학 > 소설,33
92,살인자의 기억법 :김영하 장편소설 ,지은이: 김영하,문학동네,2013,9788954622035,813.62,문학 > 한국문학 > 소설,32
92,여행의 이유 :김영하 산문 ,지은이: 김영하,문학동네,2019,9788954655972,816.62,"문학 > 한국문학 > 일기, 서간, 기행",32
92,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,9788972756194,833.6,문학 > 일본문학 > 소설,32
